,Pathogen,Frequency Count,Percent of Total Frequency,Year,Population Group
84,Alpha-hemolytic Streptococcus species not Streptococcus pneumoniae,4,0.065703022,2018,Pediatric
85,Bifidobacterium,4,0.065703022,2018,Pediatric
86,Candida  guilliermondii,4,0.065703022,2018,Pediatric
87,Candida,4,0.065703022,2018,Pediatric
88,Eikenella corrodens,4,0.065703022,2018,Pediatric
89,Enterobacter gergoviae,4,0.065703022,2018,Pediatric
90,Granulicatella,4,0.065703022,2018,Pediatric
91,Neisseria,4,0.065703022,2018,Pediatric
92,Pantoea,4,0.065703022,2018,Pediatric
93,Prevotella,4,0.065703022,2018,Pediatric
94,Raoultella ornithinolytica,4,0.065703022,2018,Pediatric
95,Serratia liquefaciens,4,0.065703022,2018,Pediatric
96,Staphylococcus capitis,4,0.065703022,2018,Pediatric
97,Staphylococcus simulans,4,0.065703022,2018,Pediatric
98,Trichosporon asahii,4,0.065703022,2018,Pediatric
99,Yeast,4,0.065703022,2018,Pediatric
100,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,3,<0.1,2018,Pediatric
101,Achromobacter xylosoxidans,3,<0.1,2018,Pediatric
102,Bacteroides caccae,3,<0.1,2018,Pediatric
103,Bacteroides,3,<0.1,2018,Pediatric
104,Bacillus cereus group,3,<0.1,2018,Pediatric
105,Bacteroides fragilis group,3,<0.1,2018,Pediatric
106,Corynebacterium,3,<0.1,2018,Pediatric
107,Delftia acidovorans,3,<0.1,2018,Pediatric
108,Eggerthella lenta,3,<0.1,2018,Pediatric
109,Fusobacterium,3,<0.1,2018,Pediatric
110,Gemella haemolysans,3,<0.1,2018,Pediatric
111,Moraxella osloensis,3,<0.1,2018,Pediatric
112,Moraxella,3,<0.1,2018,Pediatric
113,Pseudomonas stutzeri,3,<0.1,2018,Pediatric
114,Abiotrophia defectiva,3,<0.1,2018,Pediatric
115,Streptococcus intermedius,3,<0.1,2018,Pediatric
116,Achromobacter,2,<0.1,2018,Pediatric
117,Achromobacter xylosoxidans xylosoxidans,2,<0.1,2018,Pediatric
118,Acinetobacter radioresistens,2,<0.1,2018,Pediatric
119,Acinetobacter ursingii,2,<0.1,2018,Pediatric
120,Acinetobacter lwoffi,2,<0.1,2018,Pediatric
121,Actinomyces odontolyticus,2,<0.1,2018,Pediatric
122,Actinomyces,2,<0.1,2018,Pediatric
123,Aeromonas,2,<0.1,2018,Pediatric
124,Acid-fast bacillus,2,<0.1,2018,Pediatric
125,Aspergillus fumigatus,2,<0.1,2018,Pediatric
126,Burkholderia cepacia,2,<0.1,2018,Pediatric
127,Candida kefyr,2,<0.1,2018,Pediatric
128,Clostridium difficile,2,<0.1,2018,Pediatric
129,Chryseobacterium indologenes,2,<0.1,2018,Pediatric
130,Citrobacter amalonaticus,2,<0.1,2018,Pediatric
131,Citrobacter braakii,2,<0.1,2018,Pediatric
132,Citrobacter youngae,2,<0.1,2018,Pediatric
133,Clostridium ramosum,2,<0.1,2018,Pediatric
134,Clostridium perfringens,2,<0.1,2018,Pediatric
135,Citrobacter,2,<0.1,2018,Pediatric
136,Elizabethkingia meningoseptica,2,<0.1,2018,Pediatric
137,Enterobacter asburiae,2,<0.1,2018,Pediatric
138,Enterococcus raffinosus,2,<0.1,2018,Pediatric
139,Finegoldia magna,2,<0.1,2018,Pediatric
140,Fusarium,2,<0.1,2018,Pediatric
141,"Streptococcus, group D",2,<0.1,2018,Pediatric
142,Geotrichum,2,<0.1,2018,Pediatric
143,Gram-positive bacillus,2,<0.1,2018,Pediatric
144,gamma-hemolytic streptococcus,2,<0.1,2018,Pediatric
145,Klebsiella variicola,2,<0.1,2018,Pediatric
146,Lactobacillus acidophilus,2,<0.1,2018,Pediatric
147,Leclercia adecarboxylata,2,<0.1,2018,Pediatric
148,Leptotrichia trevisanii,2,<0.1,2018,Pediatric
149,Malassezia,2,<0.1,2018,Pediatric
150,Micrococcus luteus,2,<0.1,2018,Pediatric
151,Moraxella nonliquefaciens,2,<0.1,2018,Pediatric
152,Mycobacterium,2,<0.1,2018,Pediatric
153,Neisseria elongata,2,<0.1,2018,Pediatric
154,Neisseria mucosa,2,<0.1,2018,Pediatric
155,Paenibacillus,2,<0.1,2018,Pediatric
156,Penicillium,2,<0.1,2018,Pediatric
157,Prevotella disiens,2,<0.1,2018,Pediatric
158,Pseudomonas oryzihabitans,2,<0.1,2018,Pediatric
159,Rothia,2,<0.1,2018,Pediatric
160,Saccharomyces cerevisiae,2,<0.1,2018,Pediatric
161,"Serratia marcescens, Biogroup I",2,<0.1,2018,Pediatric
162,"Beta-hemolytic streptococcus, non-Group A, non-Group B",2,<0.1,2018,Pediatric
163,Elastase-producing strain Staphylococcus epidermidis,2,<0.1,2018,Pediatric
164,Staphylococcus lugdunensis,2,<0.1,2018,Pediatric
165,Streptococcus salivarius group,2,<0.1,2018,Pediatric
166,Streptococcus sanguinis,2,<0.1,2018,Pediatric
167,Aspergillus flavus,1,<0.1,2018,Pediatric
168,Aeromonas hydrophila,1,<0.1,2018,Pediatric
169,Anaerobic Gram-negative bacillus,1,<0.1,2018,Pediatric
170,Anaerobe,1,<0.1,2018,Pediatric
171,Aspergillus,1,<0.1,2018,Pediatric
172,Atopobium minutum,1,<0.1,2018,Pediatric
173,Bacillus licheniformis,1,<0.1,2018,Pediatric
174,Bacteroides uniformis,1,<0.1,2018,Pediatric
175,Bacteroides vulgatus,1,<0.1,2018,Pediatric
176,Bacillus cereus,1,<0.1,2018,Pediatric
177,Brevundimonas diminuta,1,<0.1,2018,Pediatric
178,Brevibacillus,1,<0.1,2018,Pediatric
179,Bacillus sporothermodurans,1,<0.1,2018,Pediatric
180,Bacillus subtilis,1,<0.1,2018,Pediatric
181,Burkholderia cenocepacia,1,<0.1,2018,Pediatric
182,Burkholderia cepacia complex,1,<0.1,2018,Pediatric
183,Candida catenulata,1,<0.1,2018,Pediatric
184,Candida famata,1,<0.1,2018,Pediatric
185,Candida pelliculosa,1,<0.1,2018,Pediatric
186,Candida stellatoidea,1,<0.1,2018,Pediatric
187,Chryseobacterium gleum,1,<0.1,2018,Pediatric
188,Chromobacterium violaceum,1,<0.1,2018,Pediatric
189,Chryseomonas luteola,1,<0.1,2018,Pediatric
190,Citrobacter sedlakii,1,<0.1,2018,Pediatric
191,Cladosporium,1,<0.1,2018,Pediatric
192,Clostridium clostridioforme,1,<0.1,2018,Pediatric
193,Clostridium hathewayi,1,<0.1,2018,Pediatric
194,Clostridium paraputrificum,1,<0.1,2018,Pediatric
195,Clostridium septicum,1,<0.1,2018,Pediatric
196,Clostridium sporogenes,1,<0.1,2018,Pediatric
197,Clostridium symbiosum,1,<0.1,2018,Pediatric
198,Corynebacterium amycolatum,1,<0.1,2018,Pediatric
199,Corynebacterium jeikeium,1,<0.1,2018,Pediatric
200,Coliform  bacteria,1,<0.1,2018,Pediatric
201,"Staphylococcus, coagulase positive",1,<0.1,2018,Pediatric
202,Diphtheroids,1,<0.1,2018,Pediatric
203,Enteropathogenic Escherichia coli,1,<0.1,2018,Pediatric
204,Elizabethkingia,1,<0.1,2018,Pediatric
205,Enterobacteriaceae,1,<0.1,2018,Pediatric
206,Enterococcus durans,1,<0.1,2018,Pediatric
207,Enterobacter hormaechei,1,<0.1,2018,Pediatric
208,Enterococcus hirae,1,<0.1,2018,Pediatric
209,Escherichia,1,<0.1,2018,Pediatric
210,Ewingella americana,1,<0.1,2018,Pediatric
211,Finegoldia,1,<0.1,2018,Pediatric
212,Fusobacterium varium,1,<0.1,2018,Pediatric
213,Gemella sanguinis,1,<0.1,2018,Pediatric
214,Gemella,1,<0.1,2018,Pediatric
215,Fermentative Gram-negative bacillus,1,<0.1,2018,Pediatric
216,Non-fermentative Gram-negative bacillus,1,<0.1,2018,Pediatric
217,Hafnia alvei,1,<0.1,2018,Pediatric
218,Kingella kingae,1,<0.1,2018,Pediatric
219,Klebsiella pneumoniae ss. rhinoscleromatis,1,<0.1,2018,Pediatric
220,Kocuria kristinae,1,<0.1,2018,Pediatric
221,Lactobacillus casei,1,<0.1,2018,Pediatric
222,Lactobacillus fermentum,1,<0.1,2018,Pediatric
223,Lactococcus,1,<0.1,2018,Pediatric
224,Leptotrichia buccalis,1,<0.1,2018,Pediatric
225,Macrococcus,1,<0.1,2018,Pediatric
226,Methylobacterium spp.,1,<0.1,2018,Pediatric
227,Mold,1,<0.1,2018,Pediatric
228,"Morganella morganii, biogroup 1",1,<0.1,2018,Pediatric
229,Morganella morganii  subsp sibonii,1,<0.1,2018,Pediatric
230,Mycoplasma hominis,1,<0.1,2018,Pediatric
231,Mycobacterium massiliense,1,<0.1,2018,Pediatric
232,Mycobacterium mucogenicum,1,<0.1,2018,Pediatric
233,Mycobacterium smegmatis,1,<0.1,2018,Pediatric
234,Neisseria flavescens,1,<0.1,2018,Pediatric
235,Neisseria subflava,1,<0.1,2018,Pediatric
236,Peptoniphilus asaccharolyticus,1,<0.1,2018,Pediatric
237,Peptostreptococcus micros,1,<0.1,2018,Pediatric
238,Prevotella bivia,1,<0.1,2018,Pediatric
239,Prevotella loescheii,1,<0.1,2018,Pediatric
240,Prevotella melaninogenica,1,<0.1,2018,Pediatric
241,Propionibacterium,1,<0.1,2018,Pediatric
242,Providencia stuartii,1,<0.1,2018,Pediatric
243,Pseudomonas,1,<0.1,2018,Pediatric
244,Proteus,1,<0.1,2018,Pediatric
245,Proteus vulgaris,1,<0.1,2018,Pediatric
246,Ralstonia paucula,1,<0.1,2018,Pediatric
247,Ralstonia picketti,1,<0.1,2018,Pediatric
248,Ralstonia,1,<0.1,2018,Pediatric
249,Raoultella planticola,1,<0.1,2018,Pediatric
250,Rhizobium radiobacter,1,<0.1,2018,Pediatric
251,Rothia dentocariosa,1,<0.1,2018,Pediatric
252,Salmonella,1,<0.1,2018,Pediatric
253,"Streptococcus, group C",1,<0.1,2018,Pediatric
254,Sphingobacterium multivorum,1,<0.1,2018,Pediatric
255,Sphingomonas paucimobilis,1,<0.1,2018,Pediatric
256,Sphingomonas parapaucimobilis,1,<0.1,2018,Pediatric
257,Sphingomonas,1,<0.1,2018,Pediatric
258,Serratia,1,<0.1,2018,Pediatric
259,Staphylococcus intermedius,1,<0.1,2018,Pediatric
260,Staphylococcus saccharolyticus,1,<0.1,2018,Pediatric
261,Streptococcus bovis group,1,<0.1,2018,Pediatric
262,Streptococcus dysgalactiae,1,<0.1,2018,Pediatric
263,Streptococcus parasanguinis,1,<0.1,2018,Pediatric
264,Streptococcus sanguinis group,1,<0.1,2018,Pediatric
265,Streptococcus salivarius subsp. salivarius,1,<0.1,2018,Pediatric
266,Streptococcus salivarius,1,<0.1,2018,Pediatric
267,Trichosporon mucoides,1,<0.1,2018,Pediatric
268,Veillonella parvula,1,<0.1,2018,Pediatric
269,Wangiella dermatitidis,1,<0.1,2018,Pediatric
270,Staphylococcus aureus,856,14.972887878,2019,Pediatric
271,Escherichia coli,734,12.838901522,2019,Pediatric
272,Enterococcus faecalis,483,8.448486969,2019,Pediatric
273,Staphylococcus epidermidis,422,7.38149379,2019,Pediatric
274,Pseudomonas aeruginosa,371,6.489417527,2019,Pediatric
275,Klebsiella pneumoniae,304,5.3174742,2019,Pediatric
276,Enterobacter cloacae complex,161,2.816162323,2019,Pediatric
277,Candida albicans,148,2.588770334,2019,Pediatric
278,Serratia marcescens,138,2.41385342,2019,Pediatric
279,"Staphylococcus, coagulase negative",124,2.168969739,2019,Pediatric
280,Enterobacter cloacae,113,1.976561133,2019,Pediatric
281,Klebsiella oxytoca,102,1.784152528,2019,Pediatric
282,Enterococcus faecium,101,1.766660836,2019,Pediatric
283,"Streptococcus, viridans group",81,1.416827007,2019,Pediatric
284,Candida parapsilosis,79,1.381843624,2019,Pediatric
285,Streptococcus mitis,68,1.189435018,2019,Pediatric
286,Streptococcus mitis group,65,1.136959944,2019,Pediatric
287,Klebsiella pneumoniae ss. pneumoniae,50,0.874584572,2019,Pediatric
288,Stenotrophomonas maltophilia,48,0.839601189,2019,Pediatric
289,Bacteroides fragilis,40,0.699667658,2019,Pediatric
290,Group B streptococcus,39,0.682175966,2019,Pediatric
291,Enterobacter aerogenes,37,0.647192584,2019,Pediatric
292,Proteus mirabilis,31,0.542242435,2019,Pediatric
293,Candida lusitaniae,30,0.524750743,2019,Pediatric
294,Citrobacter freundii,30,0.524750743,2019,Pediatric
295,Candida glabrata,30,0.524750743,2019,Pediatric
296,Genus Enterococcus,30,0.524750743,2019,Pediatric
297,Rothia mucilaginosa,29,0.507259052,2019,Pediatric
298,Staphylococcus haemolyticus,28,0.489767361,2019,Pediatric
299,Enterococcus gallinarum,27,0.472275669,2019,Pediatric
300,Staphylococcus hominis,27,0.472275669,2019,Pediatric
301,Candida tropicalis,21,0.36732552,2019,Pediatric
302,Lactobacillus,21,0.36732552,2019,Pediatric
303,Granulicatella adiacens,19,0.332342137,2019,Pediatric
304,Acinetobacter baumannii,18,0.314850446,2019,Pediatric
305,Streptococcus oralis,18,0.314850446,2019,Pediatric
306,Streptococcus anginosus,18,0.314850446,2019,Pediatric
307,Enterococcus avium,16,0.279867063,2019,Pediatric
308,Streptococcus anginosus group,16,0.279867063,2019,Pediatric
309,Candida dubliniensis,13,0.227391989,2019,Pediatric
310,Candida krusei,13,0.227391989,2019,Pediatric
311,Enterobacter,13,0.227391989,2019,Pediatric
312,Streptococcus pneumoniae,13,0.227391989,2019,Pediatric
313,Streptococcus constellatus,13,0.227391989,2019,Pediatric
314,Acinetobacter,12,0.209900297,2019,Pediatric
315,Bacillus,12,0.209900297,2019,Pediatric
316,Klebsiella,12,0.209900297,2019,Pediatric
317,Lactobacillus rhamnosus,12,0.209900297,2019,Pediatric
318,Fusobacterium nucleatum,12,0.209900297,2019,Pediatric
319,Bacteroides fragilis group,11,0.192408606,2019,Pediatric
320,Clostridium,11,0.192408606,2019,Pediatric
321,Haemophilus influenzae,11,0.192408606,2019,Pediatric
322,Pseudomonas putida,11,0.192408606,2019,Pediatric
323,Yeast,11,0.192408606,2019,Pediatric
324,Candida guilliermondii,10,0.174916914,2019,Pediatric
325,Staphylococcus capitis,10,0.174916914,2019,Pediatric
326,Staphylococcus warneri,10,0.174916914,2019,Pediatric
327,Candida,9,0.157425223,2019,Pediatric
328,Enterococcus casseliflavus,9,0.157425223,2019,Pediatric
329,Morganella morganii,9,0.157425223,2019,Pediatric
330,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,8,0.139933532,2019,Pediatric
331,Bacteroides thetaiotaomicron,8,0.139933532,2019,Pediatric
332,Capnocytophaga sputigena,8,0.139933532,2019,Pediatric
333,Achromobacter xylosoxidans,7,0.12244184,2019,Pediatric
334,Clostridium tertium,7,0.12244184,2019,Pediatric
335,Fusobacterium nucleatum,7,0.12244184,2019,Pediatric
336,Streptococcus pyogenes,7,0.12244184,2019,Pediatric
337,Klebsiella variicola,7,0.12244184,2019,Pediatric
338,Neisseria,7,0.12244184,2019,Pediatric
339,Pantoea,7,0.12244184,2019,Pediatric
340,Staphylococcus,7,0.12244184,2019,Pediatric
341,Streptococcus,7,0.12244184,2019,Pediatric
342,Acinetobacter lwoffi,6,0.104950149,2019,Pediatric
343,Bacteroides ovatus,6,0.104950149,2019,Pediatric
344,Citrobacter koseri,6,0.104950149,2019,Pediatric
345,Gram-positive bacillus,6,0.104950149,2019,Pediatric
346,Pantoea agglomerans,6,0.104950149,2019,Pediatric
347,Staphylococcus hominis hominis,6,0.104950149,2019,Pediatric
348,Candida famata,5,0.087458457,2019,Pediatric
349,Capnocytophaga,5,0.087458457,2019,Pediatric
350,Citrobacter,5,0.087458457,2019,Pediatric
351,Pluralibacter gergoviae,5,0.087458457,2019,Pediatric
352,Eggerthella lenta,5,0.087458457,2019,Pediatric
353,Gemella,5,0.087458457,2019,Pediatric
354,Gram-positive coccus,5,0.087458457,2019,Pediatric
355,Haemophilus parainfluenzae,5,0.087458457,2019,Pediatric
356,Leptotrichia trevisanii,5,0.087458457,2019,Pediatric
357,Prevotella,5,0.087458457,2019,Pediatric
358,Pseudomonas,5,0.087458457,2019,Pediatric
359,Peptostreptococcus,5,0.087458457,2019,Pediatric
360,Raoultella ornithinolytica,5,0.087458457,2019,Pediatric
361,Streptococcus intermedius,5,0.087458457,2019,Pediatric
362,Anaerobe,4,0.069966766,2019,Pediatric
363,Parabacteroides distasonis,4,0.069966766,2019,Pediatric
364,Bacillus species not Bacillus anthracis,4,0.069966766,2019,Pediatric
365,Bacillus cereus,4,0.069966766,2019,Pediatric
366,Clostridium innocuum,4,0.069966766,2019,Pediatric
367,Corynebacterium,4,0.069966766,2019,Pediatric
368,Gemella haemolysans,4,0.069966766,2019,Pediatric
369,Granulicatella,4,0.069966766,2019,Pediatric
370,Moraxella catarrhalis,4,0.069966766,2019,Pediatric
371,Moraxella,4,0.069966766,2019,Pediatric
372,Staphylococcus lugdunensis,4,0.069966766,2019,Pediatric
373,Streptococcus sanguinis,4,0.069966766,2019,Pediatric
374,Anaerobic Gram-positive bacillus,3,0.0524751,2019,Pediatric
375,Aspergillus fumigatus,3,0.0524751,2019,Pediatric
376,Bacteroides vulgatus,3,0.0524751,2019,Pediatric
377,Bifidobacterium,3,0.0524751,2019,Pediatric
378,Candida guilliermondii var membranaefaciens,3,0.0524751,2019,Pediatric
379,Clostridium ramosum,3,0.0524751,2019,Pediatric
380,Clostridium perfringens,3,0.0524751,2019,Pediatric
381,Corynebacterium striatum,3,0.0524751,2019,Pediatric
382,Elizabethkingia meningoseptica,3,0.0524751,2019,Pediatric
383,Enterococcus durans,3,0.0524751,2019,Pediatric
384,Enterococcus raffinosus,3,0.0524751,2019,Pediatric
385,"Escherichia coli, inactive",3,0.0524751,2019,Pediatric
386,Fusobacterium,3,0.0524751,2019,Pediatric
387,Lactobacillus plantarum,3,0.0524751,2019,Pediatric
388,Leptotrichia,3,0.0524751,2019,Pediatric
389,Moraxella nonliquefaciens,3,0.0524751,2019,Pediatric
390,Mycobacterium abscessus,3,0.0524751,2019,Pediatric
391,Propionibacterium,3,0.0524751,2019,Pediatric
392,Proteus,3,0.0524751,2019,Pediatric
393,"Serratia marcescens, Biogroup I",3,0.0524751,2019,Pediatric
394,Serratia liquefaciens,3,0.0524751,2019,Pediatric
395,Streptococcus parasanguinis,3,0.0524751,2019,Pediatric
396,Streptococcus salivarius,3,0.0524751,2019,Pediatric
397,Veillonella,3,0.0524751,2019,Pediatric
398,Abiotrophia,2,<0.1,2019,Pediatric
399,Aeromonas hydrophila,2,<0.1,2019,Pediatric
400,Anaerobic Gram-negative bacillus,2,<0.1,2019,Pediatric
401,Bacteroides uniformis,2,<0.1,2019,Pediatric
402,Bacteroides,2,<0.1,2019,Pediatric
403,Bacillus cereus group,2,<0.1,2019,Pediatric
404,Beta-hemolytic streptococcus,2,<0.1,2019,Pediatric
405,Candida kefyr,2,<0.1,2019,Pediatric
406,Candida stellatoidea,2,<0.1,2019,Pediatric
407,Clostridium clostridioforme,2,<0.1,2019,Pediatric
408,Corynebacterium amycolatum,2,<0.1,2019,Pediatric
409,Cronobacter sakazakii,2,<0.1,2019,Pediatric
410,Eikenella corrodens,2,<0.1,2019,Pediatric
411,Enterobacteriaceae,2,<0.1,2019,Pediatric
412,Enterobacter kobei,2,<0.1,2019,Pediatric
413,Escherichia,2,<0.1,2019,Pediatric
414,Finegoldia magna,2,<0.1,2019,Pediatric
415,Flavobacterium,2,<0.1,2019,Pediatric
416,Fungus,2,<0.1,2019,Pediatric
417,Fusobacterium nucleatum ss nucleatum,2,<0.1,2019,Pediatric
418,"Streptococcus, group F",2,<0.1,2019,Pediatric
419,Gram-negative bacillus,2,<0.1,2019,Pediatric
420,Kocuria kristinae,2,<0.1,2019,Pediatric
421,Lactobacillus acidophilus,2,<0.1,2019,Pediatric
422,Lactococcus lactis,2,<0.1,2019,Pediatric
423,Leclercia adecarboxylata,2,<0.1,2019,Pediatric
424,Mold,2,<0.1,2019,Pediatric
425,Moraxella osloensis,2,<0.1,2019,Pediatric
426,Mycobacterium mucogenicum,2,<0.1,2019,Pediatric
427,Neisseria mucosa,2,<0.1,2019,Pediatric
428,Neisseria sicca,2,<0.1,2019,Pediatric
429,Penicillium,2,<0.1,2019,Pediatric
430,Prevotella intermedia,2,<0.1,2019,Pediatric
431,Prevotella melaninogenica,2,<0.1,2019,Pediatric
432,Providencia stuartii,2,<0.1,2019,Pediatric
433,Proteus penneri,2,<0.1,2019,Pediatric
434,Rhodotorula,2,<0.1,2019,Pediatric
435,Staphylococcus saprophyticus,2,<0.1,2019,Pediatric
436,Staphylococcus simulans,2,<0.1,2019,Pediatric
437,Abiotrophia defectiva,2,<0.1,2019,Pediatric
438,Streptococcus salivarius group,2,<0.1,2019,Pediatric
439,Streptococcus gordonii,2,<0.1,2019,Pediatric
440,Trichosporon asahii,2,<0.1,2019,Pediatric
441,Achromobacter denitrificans,1,<0.1,2019,Pediatric
442,Achromobacter,1,<0.1,2019,Pediatric
443,Acinetobacter ursingii,1,<0.1,2019,Pediatric
444,Acinetobacter junii,1,<0.1,2019,Pediatric
445,Actinomyces odontolyticus,1,<0.1,2019,Pediatric
446,Actinomyces turicensis,1,<0.1,2019,Pediatric
447,Aerococcus,1,<0.1,2019,Pediatric
448,Aeromonas,1,<0.1,2019,Pediatric
449,Aggregatibacter segnis,1,<0.1,2019,Pediatric
450,Alcaligenes faecalis,1,<0.1,2019,Pediatric
451,Anaerobic Gram-positive coccus,1,<0.1,2019,Pediatric
452,Alpha-hemolytic Streptococcus species not Streptococcus pneumoniae,1,<0.1,2019,Pediatric
453,Aspergillus niger,1,<0.1,2019,Pediatric
454,Bacteroides caccae,1,<0.1,2019,Pediatric
455,Bacillus megaterium,1,<0.1,2019,Pediatric
456,Odoribacter splanchnicus,1,<0.1,2019,Pediatric
457,Bifidobacterium dentium,1,<0.1,2019,Pediatric
458,Bipolaris,1,<0.1,2019,Pediatric
459,Brevibacterium casei,1,<0.1,2019,Pediatric
460,Burkholderia cepacia,1,<0.1,2019,Pediatric
461,Burkholderia cepacia complex,1,<0.1,2019,Pediatric
462,Burkholderia,1,<0.1,2019,Pediatric
463,Candida ciferrii,1,<0.1,2019,Pediatric
464,Candida pelliculosa,1,<0.1,2019,Pediatric
465,Candida rugosa,1,<0.1,2019,Pediatric
466,Capnocytophaga cynodegmi,1,<0.1,2019,Pediatric
467,Capnocytophaga gingivalis,1,<0.1,2019,Pediatric
468,Chryseobacterium indologenes,1,<0.1,2019,Pediatric
469,Chryseobacterium,1,<0.1,2019,Pediatric
470,Chryseomonas luteola,1,<0.1,2019,Pediatric
471,Citrobacter amalonaticus,1,<0.1,2019,Pediatric
472,Citrobacter braakii,1,<0.1,2019,Pediatric
