,WHORegionCode,WHORegionName,CountryIso3,CountryTerritoryArea,IncomeWorldBankJune,Year,AntimicrobialClass,ATC4,ATC4Name,RouteOfAdministration,DDD,DID,Notes
12,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01DC,Second-generation cephalosporins (J01DC),P,18337.5,0.018068789,
13,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01DD,Third-generation cephalosporins (J01DD),O,445524.0,0.438995457,
14,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01DD,Third-generation cephalosporins (J01DD),P,1028394.75,1.013325036,
15,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01DE,Fourth-generation cephalosporins (J01DE),P,4549.25,0.004482587,
16,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01DH,Carbapenems (J01DH),P,7543.5,0.007432961,
17,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01EE,"Combinations of sulfonamides and trimethoprim, incl. derivatives (J01EE)",O,1201945.0,1.184332145,
18,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01FA,Macrolides (J01FA),O,1480253.333,1.458562251,
19,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01FA,Macrolides (J01FA),P,180.0,0.000177362,
20,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01FF,Lincosamides (J01FF),O,86654.0,0.085384205,
21,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01GA,Streptomycins (J01GA),P,15000.0,0.014780196,
22,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01GB,Other aminoglycosides (J01GB),I,6720.0,0.006621528,
23,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01GB,Other aminoglycosides (J01GB),P,11168.333333,0.011004677,
24,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01MA,Fluoroquinolones (J01MA),O,1607332.0,1.583778754,
25,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01MA,Fluoroquinolones (J01MA),P,167410.5,0.164957329,
26,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01XA,Glycopeptide antibacterials (J01XA),P,2206.5,0.002174167,
27,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01XD,Imidazole derivatives (J01XD),P,131459.6667,0.129533306,
28,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01XE,Nitrofuran derivatives (J01XE),O,954390.0,0.940404724,
29,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01XX,Other antibacterials (J01XX),O,16394.5,0.01615426,
30,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01XX,Other antibacterials (J01XX),P,38.75,3.82e-05,
31,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",P01AB,Nitroimidazole derivatives (P01AB),O,310330.8333,0.305783361,
32,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antimalarials (ATC P01B),P01BA,Aminoquinolines (P01BA),O,6418.604651,0.006324549,
33,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antimycotics and antifungals for systemic use (J02, D01B)",A07AA,Antibiotics (A07AA),O,384373.3333,0.37874087,
34,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antimycotics and antifungals for systemic use (J02, D01B)",D01BA,Antifungals for systemic use (D01BA),O,193116.0,0.19028615,
35,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AA,Antibiotics (J02AA),P,414.2857143,0.000408215,
36,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AC,Triazole and tetrazole derivatives (J02AC),O,866367.75,0.85367232,
37,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AC,Triazole and tetrazole derivatives (J02AC),P,655.0,0.000645402,
38,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors (J05AB),O,97995.166667,0.096559182,
39,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors (J05AB),P,16578.6875,0.016335722,
40,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AD,Phosphonic acid derivatives (J05AD),P,27.6923077,2.73e-05,
41,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AE,Protease inhibitors (J05AE),O,5040.0,0.004966145,
42,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors (J05AF),O,42726.28571,0.042100191,
43,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AH,Neuraminidase inhibitors (J05AH),O,6620.0,0.006522993,
44,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AJ,Integrase inhibitors (J05AJ),O,43224.0,0.042590612,
45,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AP,Antivirals for treatment of hcv infections (J05AP),O,94752.0,0.093363539,
46,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AR,"Antivirals for treatment of hiv infections, combinations (J05AR)",O,44340.0,0.043690258,
47,EUR,European Region,ARM,Armenia,Upper middle income,2022,Antivirals for systemic use (ATC J05),J05AX,Other antivirals (J05AX),O,532289.75,0.524489774,
48,EUR,European Region,ARM,Armenia,Upper middle income,2022,Drugs for the treatment of tuberculosis (ATC J04A),J04AB,Antibiotics (J04AB),O,25500.0,0.025126333,
49,EUR,European Region,ARM,Armenia,Upper middle income,2022,Drugs for the treatment of tuberculosis (ATC J04A),J04AC,Hydrazides (J04AC),O,71260.0,0.070215782,
50,EUR,European Region,ARM,Armenia,Upper middle income,2022,Drugs for the treatment of tuberculosis (ATC J04A),J04AD,Thiocarbamide derivatives (J04AD),O,500.0,0.000492673,
51,EUR,European Region,ARM,Armenia,Upper middle income,2022,Drugs for the treatment of tuberculosis (ATC J04A),J04AK,Other drugs for treatment of tuberculosis (J04AK),O,35495.79845,0.034975656,
52,EUR,European Region,ARM,Armenia,Upper middle income,2022,Drugs for the treatment of tuberculosis (ATC J04A),J04AM,Combinations of drugs for treatment of tuberculosis (J04AM),O,58317.0,0.057462444,
53,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",A07AA,Antibiotics (A07AA),O,29852.0,0.029303856,
54,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01AA,Tetracyclines (J01AA),O,1152598.0,1.131433951,
55,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01BA,Amphenicols (J01BA),O,289426.6667,0.284112203,
56,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01BA,Amphenicols (J01BA),P,1272.6666667,0.001249298,
57,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01CA,Penicillins with extended spectrum (J01CA),O,1779228.333,1.746558074,
58,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01CA,Penicillins with extended spectrum (J01CA),P,583.3333333,0.000572622,
59,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01CE,Beta-lactamase sensitive penicillins (J01CE),P,14233.333333,0.013971981,
60,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors (J01CR)",O,1765370.133,1.732954338,
61,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors (J01CR)",P,21518.285714,0.021123166,
62,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01DB,First-generation cephalosporins (J01DB),O,39784.0,0.039053485,
63,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01DB,First-generation cephalosporins (J01DB),P,43312.33333,0.042517031,
64,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01DC,Second-generation cephalosporins (J01DC),O,74875.0,0.073500143,
65,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01DC,Second-generation cephalosporins (J01DC),P,13647.5,0.013396904,
66,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01DD,Third-generation cephalosporins (J01DD),O,436293.0,0.428281771,
67,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01DD,Third-generation cephalosporins (J01DD),P,1383479.875,1.358076365,
68,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01DE,Fourth-generation cephalosporins (J01DE),P,21734.0,0.021334919,
69,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01DH,Carbapenems (J01DH),P,16658.8333333,0.016352906,
70,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01EE,"Combinations of sulfonamides and trimethoprim, incl. derivatives (J01EE)",O,1015803.0,0.997150786,
71,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01FA,Macrolides (J01FA),O,3463318.75,3.399725158,
72,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01FF,Lincosamides (J01FF),O,55755.5555556,0.054731769,
73,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01FF,Lincosamides (J01FF),P,2325.0,0.002282308,
74,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01GA,Streptomycins (J01GA),P,7600.0,0.007460449,
75,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01GB,Other aminoglycosides (J01GB),I,5600.0,0.005497173,
76,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01GB,Other aminoglycosides (J01GB),P,27803.33333,0.027292808,
77,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01MA,Fluoroquinolones (J01MA),O,1754230.0,1.722018761,
78,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01MA,Fluoroquinolones (J01MA),P,317161.75,0.311338014,
79,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01RA,Combinations of antibacterials (J01RA),O,6.0,5.89e-06,
80,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01XA,Glycopeptide antibacterials (J01XA),P,9399.5,0.009226906,
81,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01XD,Imidazole derivatives (J01XD),P,82123.0,0.080615054,
82,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01XE,Nitrofuran derivatives (J01XE),O,880710.0,0.864538369,
83,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01XX,Other antibacterials (J01XX),O,51382.0,0.050438522,
84,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",J01XX,Other antibacterials (J01XX),P,8928.571429,0.008764625,
85,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",P01AB,Nitroimidazole derivatives (P01AB),O,399396.5833,0.392062848,
86,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antimalarials (ATC P01B),P01BA,Aminoquinolines (P01BA),O,11116.27907,0.010912162,
87,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antimycotics and antifungals for systemic use (J02, D01B)",A07AA,Antibiotics (A07AA),O,333800.0,0.327670752,
88,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antimycotics and antifungals for systemic use (J02, D01B)",D01BA,Antifungals for systemic use (D01BA),O,221456.0,0.217389616,
89,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AA,Antibiotics (J02AA),P,285.7142857,0.000280468,
90,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AC,Triazole and tetrazole derivatives (J02AC),O,659433.75,0.647325202,
91,EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AC,Triazole and tetrazole derivatives (J02AC),P,1367.0,0.001341899,
92,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors (J05AB),O,77891.5,0.076461254,
93,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors (J05AB),P,65081.0,0.063886016,
94,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AC,Cyclic amines (J05AC),O,700.0,0.000687147,
95,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AE,Protease inhibitors (J05AE),O,4440.0,0.004358473,
96,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors (J05AF),O,119744.931977,0.117546171,
97,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AG,Non-nucleoside reverse transcriptase inhibitors (J05AG),O,10800.0,0.01060169,
98,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AJ,Integrase inhibitors (J05AJ),O,47040.0,0.04617625,
99,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AP,Antivirals for treatment of hcv infections (J05AP),O,100184.0,0.098344418,
100,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AR,"Antivirals for treatment of hiv infections, combinations (J05AR)",O,105690.0,0.103749269,
101,EUR,European Region,ARM,Armenia,Upper middle income,2021,Antivirals for systemic use (ATC J05),J05AX,Other antivirals (J05AX),O,1043520.62503,1.02435946,
102,EUR,European Region,ARM,Armenia,Upper middle income,2021,Drugs for the treatment of tuberculosis (ATC J04A),J04AB,Antibiotics (J04AB),O,63028.33333,0.061871005,
103,EUR,European Region,ARM,Armenia,Upper middle income,2021,Drugs for the treatment of tuberculosis (ATC J04A),J04AC,Hydrazides (J04AC),O,8166.666667,0.00801671,
104,EUR,European Region,ARM,Armenia,Upper middle income,2021,Drugs for the treatment of tuberculosis (ATC J04A),J04AK,Other drugs for treatment of tuberculosis (J04AK),O,50080.294577,0.049160718,
105,EUR,European Region,ARM,Armenia,Upper middle income,2021,Drugs for the treatment of tuberculosis (ATC J04A),J04AM,Combinations of drugs for treatment of tuberculosis (J04AM),O,4189.5,0.004112572,
106,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",A07AA,Antibiotics (A07AA),O,26772.0,0.026143333,
107,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01AA,Tetracyclines (J01AA),O,2039506.0,1.991613822,
108,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01BA,Amphenicols (J01BA),O,143350.0,0.13998382,
109,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01BA,Amphenicols (J01BA),P,120.0,0.000117182,
110,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01CA,Penicillins with extended spectrum (J01CA),O,2596547.0,2.535574248,
111,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01CA,Penicillins with extended spectrum (J01CA),P,5078.333333,0.004959083,
112,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01CE,Beta-lactamase sensitive penicillins (J01CE),P,73565.0,0.071837529,
113,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors (J01CR)",O,1704098.8,1.664082736,
114,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors (J01CR)",P,21864.666667,0.021351235,
115,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01DB,First-generation cephalosporins (J01DB),O,57557.5,0.056205921,
116,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01DB,First-generation cephalosporins (J01DB),P,73823.0,0.07208947,
117,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01DC,Second-generation cephalosporins (J01DC),O,77230.0,0.075416466,
118,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01DC,Second-generation cephalosporins (J01DC),P,23746.25,0.023188674,
119,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01DD,Third-generation cephalosporins (J01DD),O,450176.0,0.439604857,
120,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01DD,Third-generation cephalosporins (J01DD),P,1296473.25,1.266029118,
121,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01DE,Fourth-generation cephalosporins (J01DE),P,30851.25,0.030126793,
122,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01DH,Carbapenems (J01DH),P,28767.33333,0.028091812,
123,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01ED,Long-acting sulfonamides (J01ED),O,14800.0,0.014452463,
124,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01EE,"Combinations of sulfonamides and trimethoprim, incl. derivatives (J01EE)",O,1360728.0,1.328775053,
125,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01FA,Macrolides (J01FA),O,5364543.275,5.238571759,
126,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01FA,Macrolides (J01FA),P,4245.0,0.004145318,
127,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01FF,Lincosamides (J01FF),O,11001.333333,0.010742997,
128,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01FF,Lincosamides (J01FF),P,3116.6666667,0.003043505,
129,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01GA,Streptomycins (J01GA),P,82440.0,0.080504124,
130,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01GB,Other aminoglycosides (J01GB),P,39223.33333,0.038302282,
131,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01MA,Fluoroquinolones (J01MA),O,2119722.5,2.069946659,
132,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01MA,Fluoroquinolones (J01MA),P,516583.0,0.504452472,
133,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01XA,Glycopeptide antibacterials (J01XA),P,10679.5,0.010428721,
134,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01XD,Imidazole derivatives (J01XD),P,128301.3333,0.12528853,
135,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01XE,Nitrofuran derivatives (J01XE),O,453130.0,0.442489491,
136,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",J01XX,Other antibacterials (J01XX),O,79877.0,0.078001309,
137,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",P01AB,Nitroimidazole derivatives (P01AB),O,465248.41667,0.45432334,
138,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antimalarials (ATC P01B),P01BA,Aminoquinolines (P01BA),O,54160.85271,0.052889034,
139,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antimycotics and antifungals for systemic use (J02, D01B)",A07AA,Antibiotics (A07AA),O,397086.6667,0.387762181,
140,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antimycotics and antifungals for systemic use (J02, D01B)",D01BA,Antifungals for systemic use (D01BA),O,128076.0,0.125068488,
141,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AB,Imidazole derivatives (J02AB),O,2800.0,0.00273425,
142,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AC,Triazole and tetrazole derivatives (J02AC),O,1305641.0,1.274981619,
143,EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antimycotics and antifungals for systemic use (J02, D01B)",J02AC,Triazole and tetrazole derivatives (J02AC),P,605.0,0.000590793,
144,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors (J05AB),O,96182.0,0.093923431,
145,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors (J05AB),P,6082.0625,0.005939242,
146,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AC,Cyclic amines (J05AC),O,55715.0,0.054406687,
147,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AE,Protease inhibitors (J05AE),O,2277.5,0.00222402,
148,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors (J05AF),O,52915.79592,0.051673214,
149,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AG,Non-nucleoside reverse transcriptase inhibitors (J05AG),O,17310.0,0.016903523,
150,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AH,Neuraminidase inhibitors (J05AH),O,49650.0,0.048484107,
151,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AJ,Integrase inhibitors (J05AJ),O,59040.0,0.057653608,
152,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AP,Antivirals for treatment of hcv infections (J05AP),O,249088.0,0.243238854,
153,EUR,European Region,ARM,Armenia,Upper middle income,2020,Antivirals for systemic use (ATC J05),J05AR,"Antivirals for treatment of hiv infections, combinations (J05AR)",O,385740.0,0.376681959,
