,Pathogen,Frequency Count,Percent of Total Frequency,Year,Population Group
111,Acinetobacter,52,<0.1,2018,Adult
112,Proteus penneri,52,<0.1,2018,Adult
113,Citrobacter youngae,51,<0.1,2018,Adult
114,Clostridium tertium,51,<0.1,2018,Adult
115,Fusobacterium,50,<0.1,2018,Adult
116,Streptococcus salivarius,48,<0.1,2018,Adult
117,Gardnerella vaginalis,47,<0.1,2018,Adult
118,Proteus,47,<0.1,2018,Adult
119,Achromobacter xylosoxidans,46,<0.1,2018,Adult
120,Enterobacter asburiae,46,<0.1,2018,Adult
121,Lactobacillus rhamnosus,46,<0.1,2018,Adult
122,Saccharomyces cerevisiae,46,<0.1,2018,Adult
123,Actinomyces odontolyticus,45,<0.1,2018,Adult
124,Streptococcus oralis,45,<0.1,2018,Adult
125,Clostridium difficile,44,<0.1,2018,Adult
126,Veillonella,44,<0.1,2018,Adult
127,Klebsiella pneumoniae ss. ozaenae,43,<0.1,2018,Adult
128,Staphylococcus hominis hominis,43,<0.1,2018,Adult
129,Staphylococcus warneri,43,<0.1,2018,Adult
130,Streptococcus dysgalactiae,43,<0.1,2018,Adult
131,"Streptococcus, group F",42,<0.1,2018,Adult
132,Aerococcus urinae,41,<0.1,2018,Adult
133,Bifidobacterium,41,<0.1,2018,Adult
134,Pseudomonas putida,41,<0.1,2018,Adult
135,"Beta-hemolytic streptococcus, non-Group A, non-Group B",41,<0.1,2018,Adult
136,Acinetobacter lwoffi,39,<0.1,2018,Adult
137,Prevotella oralis,38,<0.1,2018,Adult
138,gamma-hemolytic streptococcus,37,<0.1,2018,Adult
139,Moraxella catarrhalis,36,<0.1,2018,Adult
140,Streptococcus parasanguinis,36,<0.1,2018,Adult
141,Candida auris,35,<0.1,2018,Adult
142,Pantoea agglomerans,35,<0.1,2018,Adult
143,Candida  guilliermondii,34,<0.1,2018,Adult
144,"Streptococcus, group D",34,<0.1,2018,Adult
145,Pantoea,34,<0.1,2018,Adult
146,Prevotella buccae,34,<0.1,2018,Adult
147,Anaerobic Gram-positive bacillus,33,<0.1,2018,Adult
148,Anaerobic Gram-positive coccus,32,<0.1,2018,Adult
149,Citrobacter farmeri,32,<0.1,2018,Adult
150,Leptotrichia,32,<0.1,2018,Adult
151,Eikenella corrodens,29,<0.1,2018,Adult
152,Clostridium septicum,28,<0.1,2018,Adult
153,Peptoniphilus asaccharolyticus,28,<0.1,2018,Adult
154,Alpha-hemolytic Streptococcus species not Streptococcus pneumoniae,27,<0.1,2018,Adult
155,Gemella,27,<0.1,2018,Adult
156,"Beta-hemolytic Streptococcus, group A",27,<0.1,2018,Adult
157,Streptococcus sanguinis,27,<0.1,2018,Adult
158,Enterobacteriaceae,26,<0.1,2018,Adult
159,Serratia,26,<0.1,2018,Adult
160,Staphylococcus caprae,26,<0.1,2018,Adult
161,Staphylococcus pseudintermedius,26,<0.1,2018,Adult
162,Streptococcus bovis group,26,<0.1,2018,Adult
163,Enterobacter hormaechei,25,<0.1,2018,Adult
164,"Escherichia coli, inactive",25,<0.1,2018,Adult
165,Raoultella planticola,25,<0.1,2018,Adult
166,Serratia liquefaciens,25,<0.1,2018,Adult
167,Candida stellatoidea,24,<0.1,2018,Adult
168,Capnocytophaga,24,<0.1,2018,Adult
169,Enterococcus durans,24,<0.1,2018,Adult
170,Lactobacillus casei,23,<0.1,2018,Adult
171,Prevotella denticola,23,<0.1,2018,Adult
172,Propionibacterium avidum,23,<0.1,2018,Adult
173,Anaerococcus prevotii,22,<0.1,2018,Adult
174,Aspergillus fumigatus,22,<0.1,2018,Adult
175,Streptococcus salivarius group,22,<0.1,2018,Adult
176,Fermentative Gram-negative bacillus,21,<0.1,2018,Adult
177,Pasteurella multocida,21,<0.1,2018,Adult
178,Peptostreptococcus asaccharolyticus,21,<0.1,2018,Adult
179,Enteropathogenic Escherichia coli,20,<0.1,2018,Adult
180,Pseudomonas stutzeri,20,<0.1,2018,Adult
181,Sphingomonas paucimobilis,20,<0.1,2018,Adult
182,Micrococcus,19,<0.1,2018,Adult
183,Parvimonas micra,19,<0.1,2018,Adult
184,Prevotella loescheii,19,<0.1,2018,Adult
185,Alpha non-hemolytic streptococcus,19,<0.1,2018,Adult
186,Veillonella parvula,19,<0.1,2018,Adult
187,Achromobacter,18,<0.1,2018,Adult
188,Chryseobacterium indologenes,18,<0.1,2018,Adult
189,Clostridium subterminale,18,<0.1,2018,Adult
190,Corynebacterium amycolatum,18,<0.1,2018,Adult
191,Coryneform bacteria,18,<0.1,2018,Adult
192,Aeromonas hydrophila,17,<0.1,2018,Adult
193,Citrobacter sedlakii,17,<0.1,2018,Adult
194,Corynebacterium jeikeium,17,<0.1,2018,Adult
195,Escherichia,17,<0.1,2018,Adult
196,Mycobacterium abscessus,17,<0.1,2018,Adult
197,Prevotella oris,17,<0.1,2018,Adult
198,Actinomyces neuii,16,<0.1,2018,Adult
199,Bacillus cereus,16,<0.1,2018,Adult
200,Candida kefyr,16,<0.1,2018,Adult
201,Enterococcus hirae,16,<0.1,2018,Adult
202,Leptotrichia buccalis,16,<0.1,2018,Adult
203,Neisseria,16,<0.1,2018,Adult
204,Proteus hauseri,16,<0.1,2018,Adult
205,Staphylococcus intermedius,16,<0.1,2018,Adult
206,Streptococcus gallolyticus,16,<0.1,2018,Adult
207,Streptococcus gordonii,16,<0.1,2018,Adult
208,Acinetobacter haemolyticus,15,<0.1,2018,Adult
209,Delftia acidovorans,15,<0.1,2018,Adult
210,Eubacterium,15,<0.1,2018,Adult
211,Gemella morbillorum,15,<0.1,2018,Adult
212,Acinetobacter ursingii,14,<0.1,2018,Adult
213,Bacteroides stercoris,14,<0.1,2018,Adult
214,Burkholderia cepacia complex,14,<0.1,2018,Adult
215,Fusobacterium necrophorum,14,<0.1,2018,Adult
216,Leuconostoc,14,<0.1,2018,Adult
217,Peptoniphilus harei,14,<0.1,2018,Adult
218,Peptostreptococcus micros,14,<0.1,2018,Adult
219,Acinetobacter calcoaceticus,13,<0.1,2018,Adult
220,Acinetobacter radioresistens,13,<0.1,2018,Adult
221,Actinomyces turicensis,13,<0.1,2018,Adult
222,Bacillus species not Bacillus anthracis,13,<0.1,2018,Adult
223,Clostridium cadaveris,13,<0.1,2018,Adult
224,Enterobacter cancerogenus,13,<0.1,2018,Adult
225,Gemella sanguinis,13,<0.1,2018,Adult
226,Kluyvera ascorbata,13,<0.1,2018,Adult
227,Prevotella disiens,13,<0.1,2018,Adult
228,Small-colony-forming beta-hemolytic group G streptococci,13,<0.1,2018,Adult
229,Enterobacter gergoviae,12,<0.1,2018,Adult
230,Fusobacterium varium,12,<0.1,2018,Adult
231,Morganella morganii  subsp sibonii,12,<0.1,2018,Adult
232,Ochrobactrum anthropi,12,<0.1,2018,Adult
233,Staphylococcus schleiferi,12,<0.1,2018,Adult
234,Abiotrophia defectiva,12,<0.1,2018,Adult
235,Aeromonas,11,<0.1,2018,Adult
236,Candida famata,11,<0.1,2018,Adult
237,Eubacterium limosum,11,<0.1,2018,Adult
238,Haemophilus,11,<0.1,2018,Adult
239,Klebsiella pneumoniae ss. rhinoscleromatis,11,<0.1,2018,Adult
240,Morganella,11,<0.1,2018,Adult
241,Propionibacterium granulosum,11,<0.1,2018,Adult
242,Salmonella,11,<0.1,2018,Adult
243,Serratia fonticola,11,<0.1,2018,Adult
244,Staphylococcus auricularis,11,<0.1,2018,Adult
245,Staphylococcus capitis ss capitis,11,<0.1,2018,Adult
246,Streptococcus dysgalactiae subsp. equisimilis,11,<0.1,2018,Adult
247,Aerococcus viridans,10,<0.1,2018,Adult
248,Granulicatella,10,<0.1,2018,Adult
249,Lactobacillus gasseri,10,<0.1,2018,Adult
250,Leclercia adecarboxylata,10,<0.1,2018,Adult
251,Mycobacterium fortuitum,10,<0.1,2018,Adult
252,Parabacteroides,10,<0.1,2018,Adult
253,Rhodotorula rubra,10,<0.1,2018,Adult
254,Staphylococcus cohnii,10,<0.1,2018,Adult
255,Stenotrophomonas,10,<0.1,2018,Adult
256,Aerobic bacteria,9,<0.1,2018,Adult
257,Bacillus cereus group,9,<0.1,2018,Adult
258,Candida guilliermondii var membranaefaciens,9,<0.1,2018,Adult
259,Chryseomonas luteola,9,<0.1,2018,Adult
260,Clostridium baratii,9,<0.1,2018,Adult
261,Cronobacter sakazakii,9,<0.1,2018,Adult
262,Eggerthella,9,<0.1,2018,Adult
263,Fusarium,9,<0.1,2018,Adult
264,Moraxella,9,<0.1,2018,Adult
265,Mycobacterium mucogenicum,9,<0.1,2018,Adult
266,Peptoniphilus,9,<0.1,2018,Adult
267,Porphyromonas,9,<0.1,2018,Adult
268,Prevotella intermedia,9,<0.1,2018,Adult
269,Rothia,9,<0.1,2018,Adult
270,Ruminococcus,9,<0.1,2018,Adult
271,Serratia rubidaea,9,<0.1,2018,Adult
272,Staphylococcus saprophyticus,9,<0.1,2018,Adult
273,Abiotrophia,8,<0.1,2018,Adult
274,Acinetobacter junii,8,<0.1,2018,Adult
275,Actinomyces meyeri,8,<0.1,2018,Adult
276,Aspergillus,8,<0.1,2018,Adult
277,Bacteroides eggerthii,8,<0.1,2018,Adult
278,Capnocytophaga sputigena,8,<0.1,2018,Adult
279,Elizabethkingia meningoseptica,8,<0.1,2018,Adult
280,Finegoldia,8,<0.1,2018,Adult
281,Influenza A virus,8,<0.1,2018,Adult
282,Lactobacillus acidophilus,8,<0.1,2018,Adult
283,Mycoplasma hominis,8,<0.1,2018,Adult
284,Prevotella nigrescens,8,<0.1,2018,Adult
285,Streptococcus alactolyticus,8,<0.1,2018,Adult
286,Small-colony-forming beta-hemolytic group C streptococci,8,<0.1,2018,Adult
287,Aerococcus,7,<0.1,2018,Adult
288,Acid-fast bacillus,7,<0.1,2018,Adult
289,Bifidobacterium breve,7,<0.1,2018,Adult
290,Citrobacter werkmanii,7,<0.1,2018,Adult
291,Clostridium bifermentans,7,<0.1,2018,Adult
292,Clostridium paraputrificum,7,<0.1,2018,Adult
293,Corynebacterium pseudodiphtheriticum,7,<0.1,2018,Adult
294,Coliform  bacteria,7,<0.1,2018,Adult
295,Anaerobic diphtheroids,7,<0.1,2018,Adult
296,Escherichia fergusonii,7,<0.1,2018,Adult
297,Non-fermentative Gram-negative bacillus,7,<0.1,2018,Adult
298,Mold,7,<0.1,2018,Adult
299,Neisseria sicca,7,<0.1,2018,Adult
300,Pseudomonas oryzihabitans,7,<0.1,2018,Adult
301,Serratia plymuthica,7,<0.1,2018,Adult
302,Staphylococcus capitis subspecies urealyticus,7,<0.1,2018,Adult
303,Staphylococcus saccharolyticus,7,<0.1,2018,Adult
304,Streptococcus gallolyticus subspecies pasteurianus,7,<0.1,2018,Adult
305,Streptococcus vestibularis,7,<0.1,2018,Adult
306,Actinomyces israelii,6,<0.1,2018,Adult
307,Alcaligenes faecalis,6,<0.1,2018,Adult
308,Anaerococcus tretradius,6,<0.1,2018,Adult
309,Clostridium sordellii,6,<0.1,2018,Adult
310,Corynebacterium diphtheriae,6,<0.1,2018,Adult
311,Aerobic diphtheroids,6,<0.1,2018,Adult
312,Escherichia hermannii,6,<0.1,2018,Adult
313,Kocuria kristinae,6,<0.1,2018,Adult
314,Lactobacillus fermentum,6,<0.1,2018,Adult
315,Lactobacillus paracasei,6,<0.1,2018,Adult
316,Moraxella nonliquefaciens,6,<0.1,2018,Adult
317,Penicillium,6,<0.1,2018,Adult
318,Peptococcus,6,<0.1,2018,Adult
319,Raoultella,6,<0.1,2018,Adult
320,Rhizobium radiobacter,6,<0.1,2018,Adult
321,Serratia odorifera,6,<0.1,2018,Adult
322,Trueperella bernardiae,6,<0.1,2018,Adult
323,Adenoviridae,5,<0.1,2018,Adult
324,Anaerobic Gram-negative coccus,5,<0.1,2018,Adult
325,Anaerococcus spp.,5,<0.1,2018,Adult
326,Anaerococcus vaginalis,5,<0.1,2018,Adult
327,Burkholderia,5,<0.1,2018,Adult
328,Chryseobacterium,5,<0.1,2018,Adult
329,Dermabacter hominis,5,<0.1,2018,Adult
330,Fungus,5,<0.1,2018,Adult
331,Fusobacterium nucleatum  nucleatum,5,<0.1,2018,Adult
332,Gram-variable bacillus,5,<0.1,2018,Adult
333,Haemophilus influenzae type b,5,<0.1,2018,Adult
334,Kluyvera cryocrescens,5,<0.1,2018,Adult
335,Lactococcus,5,<0.1,2018,Adult
336,Micrococcus luteus,5,<0.1,2018,Adult
337,"Morganella morganii, biogroup 1",5,<0.1,2018,Adult
338,Pediococcus,5,<0.1,2018,Adult
339,Prevotella corporis,5,<0.1,2018,Adult
340,Pseudomonas mendocina,5,<0.1,2018,Adult
341,Rothia dentocariosa,5,<0.1,2018,Adult
342,"Serratia marcescens, Biogroup I",5,<0.1,2018,Adult
343,Elastase-producing strain Staphylococcus epidermidis,5,<0.1,2018,Adult
344,Staphylococcus sciuri,5,<0.1,2018,Adult
345,Streptococcus constellatus subspecies constellatus,5,<0.1,2018,Adult
346,Streptococcus infantarius,5,<0.1,2018,Adult
347,Streptococcus mutans,5,<0.1,2018,Adult
348,Tissierella praeacuta,5,<0.1,2018,Adult
349,Trichosporon asahii,5,<0.1,2018,Adult
350,Trichosporon,5,<0.1,2018,Adult
351,Achromobacter denitrificans,4,<0.1,2018,Adult
352,Achromobacter xylosoxidans xylosoxidans,4,<0.1,2018,Adult
353,Aspergillus terreus,4,<0.1,2018,Adult
354,Bacteroides pyogenes,4,<0.1,2018,Adult
355,Cladosporium,4,<0.1,2018,Adult
356,Clostridium butyricum,4,<0.1,2018,Adult
357,Clostridium hathewayi,4,<0.1,2018,Adult
358,Clostridium sporogenes,4,<0.1,2018,Adult
359,Corynebacterium  species not Corynebacterium diphtheriae,4,<0.1,2018,Adult
360,Eikenella,4,<0.1,2018,Adult
361,Enterobacter amnigenus,4,<0.1,2018,Adult
362,Enterobacter intermedius,4,<0.1,2018,Adult
363,Fusobacterium mortiferum,4,<0.1,2018,Adult
364,Gardnerella,4,<0.1,2018,Adult
365,"Haemophilus influenzae, not b",4,<0.1,2018,Adult
366,Kluyveromyces marxianus,4,<0.1,2018,Adult
367,Lactobacillus plantarum,4,<0.1,2018,Adult
368,Leuconostoc lactis,4,<0.1,2018,Adult
369,Mycobacterium goodii,4,<0.1,2018,Adult
370,Mycobacterium,4,<0.1,2018,Adult
371,Neisseria mucosa,4,<0.1,2018,Adult
372,Ochrobactrum,4,<0.1,2018,Adult
373,Parvimonas,4,<0.1,2018,Adult
374,Prevotella oralis group,4,<0.1,2018,Adult
375,Providencia,4,<0.1,2018,Adult
376,Rhizopus,4,<0.1,2018,Adult
377,Rhodotorula,4,<0.1,2018,Adult
378,Shewanella putrefaciens,4,<0.1,2018,Adult
379,Streptococcus anginosus-constellatus,4,<0.1,2018,Adult
380,Streptococcus dysgalactiae subsp. dysgalactiae,4,<0.1,2018,Adult
381,Actinomyces naeslundii,3,<0.1,2018,Adult
382,Actinomyces radingae,3,<0.1,2018,Adult
383,Aeromonas sobria,3,<0.1,2018,Adult
384,Parabacteroides merdae,3,<0.1,2018,Adult
385,Bilophila wadsworthia,3,<0.1,2018,Adult
386,Burkholderia gladioli,3,<0.1,2018,Adult
387,Campylobacter ureolyticus,3,<0.1,2018,Adult
388,Candida lipolytica,3,<0.1,2018,Adult
389,Candida pelliculosa,3,<0.1,2018,Adult
390,Candida utilis,3,<0.1,2018,Adult
391,Candida zeylanoides,3,<0.1,2018,Adult
392,Clostridium glycolicum,3,<0.1,2018,Adult
393,Clostridium symbiosum,3,<0.1,2018,Adult
394,Corynebacterium aurimucosum,3,<0.1,2018,Adult
395,Corynebacterium species not Corynebacterium jeikeium,3,<0.1,2018,Adult
396,Corynebacterium propinquum,3,<0.1,2018,Adult
397,Corynebacterium simulans,3,<0.1,2018,Adult
398,Corynebacterium urealyticum,3,<0.1,2018,Adult
399,Flavobacterium,3,<0.1,2018,Adult
400,Flavonifractor plautii,3,<0.1,2018,Adult
401,Fusobacterium naviforme,3,<0.1,2018,Adult
402,Gram positive coccobacillus,3,<0.1,2018,Adult
403,Gram-positive diplococcus,3,<0.1,2018,Adult
404,Aggregatibacter aphrophilus,3,<0.1,2018,Adult
405,Haemophilus haemolyticus,3,<0.1,2018,Adult
406,Hafnia,3,<0.1,2018,Adult
407,Lactococcus garvieae,3,<0.1,2018,Adult
408,Lactococcus lactis,3,<0.1,2018,Adult
409,Leptotrichia trevisanii,3,<0.1,2018,Adult
410,Mobiluncus mulieris,3,<0.1,2018,Adult
411,"Mycobacterium, avium-intracellulare group",3,<0.1,2018,Adult
412,Pasteurella canis,3,<0.1,2018,Adult
413,Pediococcus acidilactici,3,<0.1,2018,Adult
414,Kodamaea ohmeri,3,<0.1,2018,Adult
415,Prevotella buccalis,3,<0.1,2018,Adult
416,Propionimicrobium,3,<0.1,2018,Adult
417,Staphylococcus hyicus,3,<0.1,2018,Adult
418,Streptococcus cristatus,3,<0.1,2018,Adult
419,Streptococcus equinus,3,<0.1,2018,Adult
420,Streptococcus gallolyticus subspecies gallolyticus,3,<0.1,2018,Adult
421,Streptococcus sanguinis group,3,<0.1,2018,Adult
422,Streptococcus salivarius subsp. salivarius,3,<0.1,2018,Adult
423,Streptococcus acidominimus,3,<0.1,2018,Adult
424,Virus,3,<0.1,2018,Adult
425,Acinetobacter johnsonii,2,<0.1,2018,Adult
426,Aeromonas punctata,2,<0.1,2018,Adult
427,Aerococcus sanguicola,2,<0.1,2018,Adult
428,Aggregatibacter segnis,2,<0.1,2018,Adult
429,Agrobacterium,2,<0.1,2018,Adult
430,Alloscardovia omnicolens,2,<0.1,2018,Adult
431,Alcaligenes,2,<0.1,2018,Adult
432,Arcanobacterium haemolyticum,2,<0.1,2018,Adult
433,Aspergillus niger,2,<0.1,2018,Adult
434,Aspergillus versicolor,2,<0.1,2018,Adult
435,Atopobium vaginae,2,<0.1,2018,Adult
436,Bacillus megaterium,2,<0.1,2018,Adult
437,Odoribacter splanchnicus,2,<0.1,2018,Adult
438,Bifidobacterium longum,2,<0.1,2018,Adult
439,Blastoschizomyces pseudotrichosporon,2,<0.1,2018,Adult
440,Blautia producta,2,<0.1,2018,Adult
441,Brevundimonas,2,<0.1,2018,Adult
442,Brevibacterium,2,<0.1,2018,Adult
443,Bacillus subtilis,2,<0.1,2018,Adult
444,Family Caliciviridae,2,<0.1,2018,Adult
445,Campylobacter gracilis,2,<0.1,2018,Adult
446,Candida haemulonii,2,<0.1,2018,Adult
447,Candida norvegensis,2,<0.1,2018,Adult
448,Candida pararugosa,2,<0.1,2018,Adult
449,Corynebacterium minutissimum,2,<0.1,2018,Adult
450,Corynebacterium tuberculostearicum,2,<0.1,2018,Adult
451,Cupriavidus metallidurans,2,<0.1,2018,Adult
452,Cupriavidus pauculus,2,<0.1,2018,Adult
453,Curvularia,2,<0.1,2018,Adult
454,Desulfovibrio desulfuricans,2,<0.1,2018,Adult
455,Desulfovibrio,2,<0.1,2018,Adult
456,Edwardsiella tarda,2,<0.1,2018,Adult
457,Elizabethkingia,2,<0.1,2018,Adult
458,Empedobacter brevis,2,<0.1,2018,Adult
459,Enterobacter amnigenus Bbiogroup  II,2,<0.1,2018,Adult
460,Enterobacter kobei,2,<0.1,2018,Adult
461,Eubacterium saburreum,2,<0.1,2018,Adult
462,Ewingella americana,2,<0.1,2018,Adult
463,Globicatella sanguinis,2,<0.1,2018,Adult
464,Gram-negative coccus,2,<0.1,2018,Adult
465,Gram-negative diplococcus,2,<0.1,2018,Adult
466,"Haemophilus parainfluenzae, biotype I",2,<0.1,2018,Adult
467,Haemophilus influenzae type a,2,<0.1,2018,Adult
468,Human metapneumovirus,2,<0.1,2018,Adult
469,Inquilinus limosus,2,<0.1,2018,Adult
470,Kluyvera intermedia,2,<0.1,2018,Adult
471,Lactobacillus salivarius,2,<0.1,2018,Adult
472,Leuconostoc pseudomesenteroides,2,<0.1,2018,Adult
473,Methylobacterium spp.,2,<0.1,2018,Adult
474,Microbacterium,2,<0.1,2018,Adult
475,Moraxella osloensis,2,<0.1,2018,Adult
476,Mucor,2,<0.1,2018,Adult
477,Mycobacterium chelonae,2,<0.1,2018,Adult
478,Mycobacterium fortuitum complex,2,<0.1,2018,Adult
479,Mycobacterium haemophilum,2,<0.1,2018,Adult
480,Mycobacterium intracellulare,2,<0.1,2018,Adult
481,Genus Mycoplasma,2,<0.1,2018,Adult
482,Mycoplasma salivarium,2,<0.1,2018,Adult
483,Neisseria elongata,2,<0.1,2018,Adult
484,Neisseria subflava,2,<0.1,2018,Adult
485,Neisseria meningitidis,2,<0.1,2018,Adult
486,Nocardia,2,<0.1,2018,Adult
487,Paenibacillus,2,<0.1,2018,Adult
488,Paracoccus yeei,2,<0.1,2018,Adult
489,Pediococcus pentosaceus,2,<0.1,2018,Adult
490,Porphyromonas gingivalis,2,<0.1,2018,Adult
491,Pseudallescheria,2,<0.1,2018,Adult
492,Pseudomonas alcaligenes,2,<0.1,2018,Adult
493,Rhizobium,2,<0.1,2018,Adult
494,Human respiratory syncytial virus,2,<0.1,2018,Adult
495,Scedosporium boydii,2,<0.1,2018,Adult
496,Sphingobacterium multivorum,2,<0.1,2018,Adult
497,Sphingomonas parapaucimobilis,2,<0.1,2018,Adult
498,Sphingomonas,2,<0.1,2018,Adult
499,Staphylococcus schleiferi sscoagulans,2,<0.1,2018,Adult
500,Staphylococcus pettenkoferi,2,<0.1,2018,Adult
501,Staphylococcus saprophyticus sssaprophyticus,2,<0.1,2018,Adult
502,Staphylococcus xylosus,2,<0.1,2018,Adult
503,Streptomyces,2,<0.1,2018,Adult
504,Weissella confusa,2,<0.1,2018,Adult
